name,moisture,protein,fat,mineral,crude_fibre,carbohydrates,energy,calcium,phosphorus,iron,magnesium,sodium,potassium,copper,manganese,molybdenum,zinc,chromium,sulfur,chlorine,carotene,Thiamine_B1,Riboflavin_B2,Niacin_B3,Pyridoxine_B6_Total,Folic_Acid_Free ,Folic_Acid_total,Vitamin_C,choline,Approx_tot_Ng_per_100,Histidine,Lysine,Tryptophan,Phenylalanine,Methionine,Threonine,Leucine,Isoleucine,Valine,Arginine,Tyrosine,Cystine,Palmitic_acid,Stearic_acid,Arachidic,Behenic,Lignoceric,Total_SFA,Palmitoleic,Oleic,Total_MUFA,linoleic,linolenic,Total_PUFA,oxalic_acid,phytin_p,phytin_phosphorus_percentage,TDF_g,IDF_g,SDF_g
AGATHI,73.1,8.4,1.4,3.1,2.2,11.8,93,1130,80,3.9,0,0,0,0,0,0,0,0,0,0,5400,0.21,0.09,1.2,0,0,0,169,0,1.34,120,250,100,380,90,300,560,390,430,360,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,6.3,2.1
AMARANTH caudatus,90,3,0.7,3.3,1,2,26,200,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMARANTH gangetlcus (tender),85.7,4,0.5,2.7,1,6.1,45,397,83,3.49,122,230,341,0.08,0.36,0.13,0.18,0.01,61,88,5520,0.03,0.3,1.2,0,41,149,99,31,0.64,130,250,70,180,70,140,370,290,280,240,190,40,0,0,0,0,0,0,0,0,0,0,0,0,772,2,3,4,3.1,0.9
"AMARANTH
gangeticus (stem)",92.5,0.9,0.1,1.8,1.2,3.5,19,260,30,1.8,0,0,0,0,0,0,0,0,0,0,255,0.01,0.18,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMARANTH
Paniculatus",78.6,5.9,1,3.8,2.1,8.6,67,530,60,18.4,0,0,0,0,0,0,0,0,0,0,14190,0.01,0.24,1.1,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMARANTH
polygonoides",90,2.8,0.3,2.1,0,4.8,33,251,55,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMARANTH spinosus,85,3,0.3,3.6,1.1,7,43,800,50,22.9,0,0,0,0,0,0,0,0,0,0,3584,0,0.24,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMARANTH species
(Chakravarthikeeral)",80.6,4.5,0.6,4.2,1.6,8.5,57,321,71,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMARANTH species
(Koyakeerai)",88,2.8,0.5,1.2,2.2,5.3,37,292,51,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMARANTH tristis,87,2.8,0.4,2.4,0,7.4,44,364,52,38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMARANTH viridis,81.8,5.2,0.3,2.8,61.1,3.8,38,330,52,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMBAT CHUKA,95.2,1.6,0.3,0.9,0.6,1.4,15,63,17,0.75,123,0,0,0.04,0.4,0,0.27,0.01,0,0,3660,0.03,0.06,0.2,0,40,125,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,2.4,0.8
BATHUA LEAVES,89.6,3.7,0.4,2.6,0.8,2.9,30,150,80,4.2,0,0,0,0,0,0,0,0,0,0,1740,0.01,0.14,0.6,0,0,0,35,0,0.59,0,750,20,110,50,170,410,440,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEET GREENS,86.4,3.4,0.8,2.2,0.7,6.5,46,380,30,16.2,0,0,0,0,0,0,0,0,0,0,5862,0.26,0.56,3.3,0,0,0,70,0,0.54,90,210,60,190,50,200,300,180,210,180,150,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENGAL GRAM LEAVES,73.4,7,1.4,2.1,2,14.1,97,340,120,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BETEL LEAVES,85.4,3.1,0.8,2.3,2.3,6.1,44,230,40,10.6,447,0,0,2.32,4.47,0,3.44,0.14,0,0,5760,0.07,0.03,0.7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOTTLE GOURD LEAVES,87.9,2.3,0.7,1.7,1.3,6.1,39,80,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,140,300,0,310,90,220,410,260,40,280,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROAD BEAN LEAVES,77.6,5.6,0.3,1.3,3.7,11.5,71,111,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
